role,perName,actionCode,check
admin,Create account moderator,CREATE_MOD,1
admin,Accept a post,ACCEPT_POST,1
admin,Delete a post,DELETE_POST,1
admin,Delete a feedback,DELETE_FEEDBACK,1
admin,Get all permissions,GET_PERMISSIONS,1
admin,Get user permissions,GET_USER_PERMISSIONS,1
admin,Update permission,UPDATE_PERMISSION,1
admin,Update user permission,UPDATE_USER_PERMISSION,1
admin,Get all users,GET_USERS,1
admin,Delete user,DELETE_USER,1
admin,Analysis,ANALYSIS,1
company,Create a post,CREATE_POST,1
company,Get company post,GET_COMPANY_POST,1
company,Delete post,DELETE_POST,1
company,Update post,UPDATE_POST,1
company,Create a feedback,CREATE_FEEDBACK,1
iter,Create new cv,CREATE_CV,1
iter,Register receive email job,RECEIVE_MAIL,1
iter,Apply job,APPLY_JOB,1
iter,Create a feedback,CREATE_FEEDBACK,1
moderator,Accept post,ACCEPT_POST,1
moderator,Delete post,DELETE_POST,1
moderator,Delete a feedback,DELETE_FEEDBACK,1
moderator,Analysis,ANALYSIS,1
